KakaoTalk Chats with 아기공주민희❤
Date Saved : July 3, 2020, 2:12 p.m.


February 2, 2018, 7:52 p.m.
February 2, 2018, 7:52 p.m., you : 민희안녕
February 2, 2018, 8:09 p.m., 아기공주민희❤ : 안녕하세요!
February 2, 2018, 8:12 p.m., you : 어디야??
February 2, 2018, 8:23 p.m., 아기공주민희❤ : 저희 지금 한남에서 살꺼 다 샀어요!
February 2, 2018, 8:27 p.m., you : 오케이 ㅎㅎ
February 2, 2018, 8:27 p.m., you : 어딘지 알아??
February 2, 2018, 8:30 p.m., 아기공주민희❤ : 네넵
February 2, 2018, 8:30 p.m., 아기공주민희❤ : 다 모이셧어요??
February 2, 2018, 8:42 p.m., you : 아니 아직 ㅎㅎㅋㅋㅋㅋㅋ
February 2, 2018, 9:10 p.m., 아기공주민희❤ : 비가 너무 많이 와서 그러는데 혹시 라이드 해주실수 있는분 계신가요..?
February 2, 2018, 9:10 p.m., 아기공주민희❤ : 저희가 우산이 없어서요ㅠㅠ
February 2, 2018, 9:11 p.m., you : 하은이한테 지금 물어볼겡!
February 2, 2018, 9:12 p.m., 아기공주민희❤ : 감사합니다~!
February 2, 2018, 9:13 p.m., you : 아니양 ㅎㅎ 하은이 한테 톡해바방 ㅎㅎ

February 3, 2018, 10:48 p.m.
February 3, 2018, 10:48 p.m., you : 민희 머해??
February 3, 2018, 11:04 p.m., 아기공주민희❤ : 티비보고있어요!
February 3, 2018, 11:16 p.m., you : 민희 술마실래요??

February 4, 2018, 8:20 a.m.
February 4, 2018, 8:20 a.m., you : 뭔정신이였지ㅡㅠ
February 4, 2018, 2:32 p.m., 아기공주민희❤ : 앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
February 4, 2018, 2:32 p.m., 아기공주민희❤ : 아니에요!ㅋㅋㅋㅋ
February 4, 2018, 2:49 p.m., you : Emoticons

March 31, 2018, 4:11 a.m.
March 31, 2018, 4:11 a.m., you : 민희 고생했어ㅜㅠ 어제 일찍가서 미안해! 나중에 같이한번 놀자!!!
March 31, 2018, 5:34 a.m., 아기공주민희❤ : 엥 아닙니다!! 네넹!!
March 31, 2018, 12:42 p.m., you : 아 죽겠다
March 31, 2018, 1:14 p.m., 아기공주민희❤ : 해장하세요...
March 31, 2018, 1:15 p.m., you : ㅋㅋㅋㅋ스시로 해장하는거야?ㅋㅋㅋ
March 31, 2018, 1:15 p.m., you : 난 잠으로 해장할래ㅜㅜ
March 31, 2018, 2:41 p.m., 아기공주민희❤ : 네ㅋㅋㅋㅋㅋ딱히 먹을게없어서요..
March 31, 2018, 2:41 p.m., 아기공주민희❤ : 쉬세요!
March 31, 2018, 5:47 p.m., you : 고마워 ㅎㅎㅎㅎ

July 18, 2019, 4:21 a.m.
July 18, 2019, 4:21 a.m., you : 살려듀..
July 18, 2019, 4:21 a.m., 아기공주민희❤ : 모해여
July 18, 2019, 4:21 a.m., 아기공주민희❤ : ㅋㅋㅋㅋㅋㅋㅋ
July 18, 2019, 4:21 a.m., 아기공주민희❤ : 술마셔여?
July 18, 2019, 4:22 a.m., you : 슐먹규시퍼...0
July 18, 2019, 4:26 a.m., 아기공주민희❤ : 안마시고 뭐합니까
July 18, 2019, 4:29 a.m., you : 나 힘드로..
July 18, 2019, 4:29 a.m., you : 누가 왔더
July 18, 2019, 4:30 a.m., 아기공주민희❤ : 누가 왔더여
